curvature_1_per_m,moment_kN_m
0.07706654131961135,4281.629714243744
0.07635240015036061,4250.942151091415
0.07556253024100631,4216.763482149962
0.07469771500965934,4179.054576244864
0.07375881220758565,4137.772929070006
0.07274675306846147,4092.8728700827596
0.07166254138474606,4044.3058188621076
0.07050725251208838,3992.0205987650634
0.06928203230275513,3935.9638161568887
0.067988095969138,3876.080313794266
0.06662672687846757,3812.3137070629778
0.06519927527992848,3744.6070116619294
0.06370715696543953,3672.9033709268087
0.06215185186542626,3597.146890237622
0.060534902580978676,3517.283584790968
0.05885791285385058,3433.2624453766603
0.05712254597581727,3345.0366246198105
0.05533052313897025,3252.5647433844692
0.05348362172858354,3155.812313649146
0.05158367356024681,3054.7532701477066
0.04963256306301228,2949.3715984405467
0.04763222541035804,2839.6630419003213
0.04558464460082135,2725.636864469301
0.04349185149020575,2607.3176401307887
0.04135592177731402,2484.7470340514956
0.039178973945203394,2357.985534569309
0.036963167160007124,2227.1140899499323
0.03471069912940468,2092.235599486882
0.032423803922865306,1953.4762054712855
0.0301047497558269,1810.9863312113275
0.027755836740007693,1664.9414110107107
0.02537939460208216,1515.542261133965
0.022977780372984497,1363.0150465083018
0.020553376050129538,1207.6108063167558
0.018108586234872437,1049.6045126415581
0.015645835747548412,889.2936496487367
0.013167567222458777,726.9963160036785
0.010676238685188496,563.0488696284249
0.008174321114658059,397.80315075978024
0.005664295992328533,231.62333564371866
0.0031486528409884217,64.88248816614437
0.0006298867555663191,-102.04111063335013
-0.0018895040715837842,-268.50914049257335
-0.004407020828469171,-434.1422417329606
-0.006920166561859648,-598.5777168583553
-0.009426448653845357,-761.4662293083104
-0.011923381294093973,-922.4748434925898
-0.014408487945357339,-1081.2896688690207
-0.016879303799779345,-1237.6180624856831
-0.019333378223570948,-1391.1903613529278
-0.021768277187626743,-1541.7611329636482
-0.024181585681672464,-1689.109948375478
-0.02657091010954918,-1833.041696773742
-0.028933880663257593,-1973.3864727902621
-0.03126815367340983,-2109.999077694939
-0.03357141393375474,-2242.758182731175
-0.035841376997473355,-2371.5652073395054
-0.038075791442965835,-2496.3429669619786
-0.040272441106883106,-2617.034144816846
-0.042429147282188336,-2733.5996398308557
-0.044543770879067364,-2846.0168392096057
-0.0466142145465468,-2954.277859319618
-0.04863842475271299,-3058.3877930361396
-0.05061439382147041,-3158.3629958295437
-0.052540161923818704,-3254.2294369206625
-0.0544138190216735,-3346.0211360759304
-0.05623350676230296,-3433.7787012225995
-0.05799742032150089,-3517.5479771730193
-0.05970381019366929,-3597.378811435586
-0.06135098392703338,-3673.3239393961826
-0.06293730780226915,-3745.4379880813644
